PC1,PC3,SN
0.7284420677304874,0.5915450653485113,15dtg
2.7553963717045167,-1.7446619039619677,sn1999ex
1.4117590597330865,0.25453480976303305,sn2004fe
0.15880012434245538,0.44284989027966026,sn2007bg
2.1055847266904952,-0.2146727483520448,sn2009jf
3.007791314006689,-0.185652002475452,sn2007ag
3.5945212744533195,-1.1577413633438232,sn2009iz
-0.9170149124256772,-0.06208256855970584,sn2009bb
2.86964707409215,-1.2711309476421428,sn2006el
-0.07501576259806747,-0.11040799582374723,sn2010bh
-0.3278861109734716,0.0971778934054475,sn2003jd
2.0035647948374686,-2.389052781851094,sn2011ei
5.1107903599067175,0.566716414207352,sn2006T
-0.43656364750177123,-0.2289049561266969,sn2012ap
2.6247482069762285,-1.236261524010449,sn2008D
0.7143407597502294,0.16245976875003715,sn2002ap
3.772432251367209,-0.5293255468900678,11hs
2.1965612721101335,-0.6524778841439131,sn2005bf
3.1072928641386586,-0.9893319436838234,sn1990B
1.649070304064596,0.23330723048673457,sn2011fu
2.6133765582977313,-1.5653647259866357,sn1999dn
-0.554524396702837,0.2617850618859132,sn1998bw
4.865992750723299,0.6386351451202826,sn2012P
1.5145923832686836,-1.6640531195570822,sn1998dt
2.10170724116518,0.08021720817691991,sn2013df
3.8322638600434678,-1.4421256996369824,sn2006ep
2.6452704661588227,0.8816562677841985,sn2007gr
4.032186578247959,-1.2897991268821674,sn2008ax
2.568966256666336,-1.5080369977154997,sn1996cb
3.0216447563716238,0.24393290505677517,sn1994I
0.08852352520164003,-0.44666302048948253,16coi
3.4228816822078594,-0.839010094133368,sn2000H
-0.5338308172755253,0.28222003812948737,sn2006aj
3.127304076093353,1.212917074491971,sn2005mf
-0.20863205073056343,-1.1196507025768923,sn2016gkg
1.3688468596183023,0.4601847393854613,sn2011bm
-0.8929603030409594,0.21034447324835912,sn2013dx
5.194527870722659,0.402493556546598,sn2011dh
0.7604281906393069,0.7228931906429423,sn2004aw
-0.036576513185565124,-0.17359832709109455,sn2009er
2.294270742284239,1.3254091189339838,sn2005az
2.7218947851226076,-1.1881455982220506,sn2007C
-0.8269158322113572,-0.3228578039723258,sn2012bz
3.9825424114511385,0.5394130625960819,sn2007kj
5.5657661461363865,1.6419935840707949,10as
4.58853579105558,0.6368433429567604,sn2007Y
2.57132298205458,0.7294396083711581,13ge
-0.8882888114418359,0.20677179877988033,sn2007ru
-0.28951072188900273,-0.015332754894696418,sn2003dh
1.7608278022646358,1.0852968823517197,sn2005ek
-0.9488838101595425,-0.11697230838072492,sn2003lw
2.992754453920266,0.4797734895934192,sn1993J
