PC1,PC3,SN
0.8270119990148622,-0.32877746655912193,15dtg
2.008826103375547,-3.473677302529038,sn2004gq
-0.5029408402532891,-0.11188927735127169,sn2009bb
4.394610843656582,-1.5842169458890702,sn1983N
2.5728212353416833,-1.4912226255600174,sn2009jf
3.365265566888879,-1.8989284025322113,sn2004dk
3.7477482861806553,1.3198725591266696,sn2008bo
4.43667694504979,-1.008869534555779,sn2016gkg
4.137427310244998,-2.2890269162361943,sn2006ep
3.385279653865485,-2.297995683922739,sn2008D
-0.8927551381618015,0.9109869390842253,sn2010ay
4.096672637968091,-1.568674817981146,sn2004gv
0.8977946640517024,-1.8140181887669358,sn2007uy
4.744993100291835,0.7185902328489533,sn2006T
3.841723018991365,-0.0665740193517742,sn1990U
-0.4441625253781918,-0.25900204282968253,sn2003jd
0.5745429285425345,-0.7049815178424059,sn2002ap
5.042561633979106,-1.0260896181506876,sn2005hg
0.7433182509487943,-2.4542861350857947,sn1990I
2.520354336370361,-1.3682272890666622,sn1999dn
-0.20573630170963458,-0.1472540565063609,sn1998bw
1.315611245932306,-1.2421240459671417,17ein
2.99319068620491,-3.19281669379587,sn1998dt
1.88172000828042,0.3233423482371293,sn2013df
-0.05960446990420986,0.06159782471249408,sn2010bh
0.6379564728858698,-1.3073165658366035,sn2009er
0.25772819389713025,-0.881215298266607,sn2004aw
0.37502479998933563,-0.31702186126642967,sn2004ge
5.104938742175005,-0.2457476716743105,sn2008ax
-0.038716612956619594,-0.8617744452597675,sn2007bg
2.2139828899090697,-1.9772129308709128,sn1994I
0.4303258367876056,-1.1287071802707214,16coi
2.717386972111857,0.5240093624697043,sn2011fu
-0.28863650852562694,0.15279501332800494,sn2006aj
2.576974374354683,-0.3289860633888997,sn2006el
1.22148398045357,-0.08951929638536338,LSQ14efd
0.6250041631401593,-1.0363231086302873,sn2011bm
-0.4493006357997309,-0.049137078674078905,sn2013dx
5.604215567880576,0.9946199356264989,sn2011dh
0.480692222932286,-0.5443920868680835,sn1997ef
2.5380972970253075,-0.577452495319033,sn2007gr
3.9916804168957865,-1.7442797262794503,sn2011ei
2.2264441289544843,-0.32891941340305036,sn2003bg
1.0477393607037342,-0.19298568270915883,sn2005az
3.08239992868721,-0.8824693316691125,sn2007C
1.7741774058006787,-0.2825137654465444,sn2004gt
5.055334744724718,-1.0872515582623397,sn2009iz
4.381887194497301,1.2934107116586888,10as
5.616526447698597,0.6681430501241107,sn2007Y
3.011301943473718,-0.4176533443308509,sn2000H
1.8194940843269922,-1.296438573518304,13ge
-0.1248357854487451,0.012027799964418884,sn2003dh
4.302196525243324,-0.20761199946151698,sn2009mg
3.5010969781408896,1.2225211778296057,sn1993J
